"","journal_issn","year","title","authors","journal","volume","issue","pages","doi","apa_reference","link","citation_count","abstract","first_author_affiliation","first_author_country","open_access","n_authors","status","docType","scholarlyOutput","citationCount","citeScore","percentCited","subjectCode.3200","rank.3200","percentile.3200","subjectCode.2700","rank.2700","percentile.2700","journal_meta_title","publisher","journal_coverageStartYear","journal_coverageEndYear","journal_is_openAccess","openAccess_articles","openArchive_articles","openAccess_type","openAccess_start_date","openAccess_allow_author_paid"
"1","09567976","2024","The Affect Misattribution Procedure Revisited: an Informational Account","Pillaud, N., Ric, F.","Psychological Science","35","12","1340-1349","10.1177/09567976241287735","Pillaud, N., Ric, F. (2024). The Affect Misattribution Procedure Revisited: an Informational Account. Psychological Science, 35(12), 1340-1349. https://doi.org/10.1177/09567976241287735","https://doi.org/10.1177/09567976241287735","0","The aim of this research was to test an informational explanation of the effects observed in the affect misattribution procedure (AMP). According to this explanation, participants performing the AMP would simplify the task by asking whether the target is pleasant (yes vs. no) and would use the affective information provided by the prime to answer the question (positive = yes, negative = no). In line with this proposition, we observed in three preregistered experiments that slightly modifying the response options proposed in the task moderated the effect, which can be canceled (Experiment 1) and even reversed (Experiments 2 and 3). These results are consistent with the informational explanation and seem difficult to explain by the operation of misattribution processes.","Université de Bordeaux","France","0","2","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"2","09567976","2024","*Is Mansplaining Gendered? the Effects of Unsolicited, Generic, and Prescriptive Advice on U.s. Women","Santoro, E., Markus, H.R.","Psychological Science","35","12","1395-1415","10.1177/09567976241268630","Santoro, E., Markus, H.R. (2024). *Is Mansplaining Gendered? the Effects of Unsolicited, Generic, and Prescriptive Advice on U.s. Women. Psychological Science, 35(12), 1395-1415. https://doi.org/10.1177/09567976241268630","https://doi.org/10.1177/09567976241268630","0","In light of popular accounts in the United States of “mansplaining,” we investigated the effects on women when others give them “unresponsive” advice (i.e., unsolicited, generic, and prescriptive recommendations). We show using both vignettes (Study 1) and live interactions (Study 2) that unresponsive advice (vs. responsive questions) from men negatively affected women’s self-perceptions, leaving them feeling less respected, powerful, and trusting and having a smaller size of self. The advice giver’s gender did not moderate these self-perception outcomes (Study 3), although women anticipated greater stereotype threat only when men, and not when women, gave them unresponsive advice. Similar effects were found using responsive advice instead of questions as the comparison condition (Study 4). Overall, these findings (N = 4,394 U.S. adult women) suggest that it is the unresponsive nature of advice—and for certain outcomes the advice giver’s gender—that explain its effects on women. They point to the value of a responsive suggestion or question during conversations, particularly during cross-gender ones.","Columbia Business School","United States","0","2","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"3","09567976","2024","the Well-Being Costs of Informal Caregiving","Krämer, M.D., Bleidorn, W.","Psychological Science","35","12","1382-1394","10.1177/09567976241279203","Krämer, M.D., Bleidorn, W. (2024). the Well-Being Costs of Informal Caregiving. Psychological Science, 35(12), 1382-1394. https://doi.org/10.1177/09567976241279203","https://doi.org/10.1177/09567976241279203","0","How does informal care affect caregivers’ well-being? Theories and existing research provide conflicting answers to this question, partly because the temporal processes and conditions under which different aspects of well-being are affected are unknown. Here, we used longitudinal data from Dutch, German, and Australian representative panels (281,884 observations, 28,663 caregivers) to examine theoretically derived hypotheses about changes in caregivers’ life satisfaction, affective experiences, depression/anxiety, and loneliness. Overall, results provided evidence for negative well-being effects after the transition into a caregiver role, with more pronounced and longer-lasting well-being losses in women than in men. We further found that well-being losses were larger with more time spent on caregiving, in both men and women. These results were robust across moderators of the caregiving context (care tasks, relationship with care recipient, and full-time employment). Together, the present findings support predictions of stress theory and highlight lingering questions in theoretical frameworks of care-related well-being costs.","Universität Zürich","Switzerland","1","2","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"4","09567976","2024","Differences Between Lifelong Singles and Ever-Partnered Individuals in Big Five Personality Traits and Life Satisfaction","Stern, J., Krämer, M.D., Schumacher, A., MacDonald, G., Richter, D.","Psychological Science","35","12","1364-1381","10.1177/09567976241286865","Stern, J., Krämer, M.D., Schumacher, A., MacDonald, G., Richter, D. (2024). Differences Between Lifelong Singles and Ever-Partnered Individuals in Big Five Personality Traits and Life Satisfaction. Psychological Science, 35(12), 1364-1381. https://doi.org/10.1177/09567976241286865","https://doi.org/10.1177/09567976241286865","0","Being romantically partnered is widely seen as a societal norm, and it has been shown to be positively associated with important life outcomes, such as physical and mental health. However, the percentage of singles is steadily increasing, with more people staying single for life. We used the Survey of Health, Ageing and Retirement in Europe (SHARE; N = 77,064, mainly ≥ 50 years, 27 countries) to investigate Big Five personality traits and life satisfaction in lifelong singles compared with ever-partnered individuals. Specification-curve analyses suggested that lifelong singles were less extraverted, less conscientious, less open to experiences (dependent on singlehood definition), and less satisfied with their lives. Effects were stronger for never-partnered than for never-cohabitating or never-married individuals and were partly moderated by gender, age, country-level singlehood, and gender ratio. Our study provides insights into the characteristics of lifelong singles and has implications for understanding mental health and structures of social support in older individuals.","Munich Center for the Economics of Aging","Germany","1","5","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"5","09567976","2024","Gaze Behavior Reveals Expectations of Potential Scene Changes","Roth, N., McLaughlin, J., Obermayer, K., Rolfs, M.","Psychological Science","35","12","1350-1363","10.1177/09567976241279198","Roth, N., McLaughlin, J., Obermayer, K., Rolfs, M. (2024). Gaze Behavior Reveals Expectations of Potential Scene Changes. Psychological Science, 35(12), 1350-1363. https://doi.org/10.1177/09567976241279198","https://doi.org/10.1177/09567976241279198","0","Even if the scene before our eyes remains static for some time, we might explore it differently compared with how we examine static images, which are commonly used in studies on visual attention. Here we show experimentally that the top-down expectation of changes in natural scenes causes clearly distinguishable gaze behavior for visually identical scenes. We present free-viewing eye-tracking data of 20 healthy adults on a new video dataset of natural scenes, each mapped for its potential for change (PfC) in independent ratings. Observers looking at frozen videos looked significantly more often at the parts of the scene with a high PfC compared with static images, with substantially higher interobserver coherence. This viewing difference peaked right before a potential movement onset. Established concepts like object animacy or salience alone could not explain this finding. Images thus conceal experience-based expectations that affect gaze behavior in the potentially dynamic real world.","Bernstein Center for Computational Neuroscience Berlin","Germany","0","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"6","09567976","2024","Why Do Children Think Words Are Mutually Exclusive?","Brody, G., Feiman, R., Aravind, A.","Psychological Science","35","12","1315-1324","10.1177/09567976241287732","Brody, G., Feiman, R., Aravind, A. (2024). Why Do Children Think Words Are Mutually Exclusive?. Psychological Science, 35(12), 1315-1324. https://doi.org/10.1177/09567976241287732","https://doi.org/10.1177/09567976241287732","0","How do children learn what a word means when its uses are consistent with many possible meanings? One influential idea is that children rely on an inductive bias that ensures that novel words get assigned distinct meanings from known words—mutual exclusivity. Here, we explore the possibility that mutual-exclusivity phenomena do not reflect a bias but rather information encoded in the message. Learners might effectively be told when (and when not) to assume that word meanings are mutually exclusive. In three experiments (N = 106 from across the United States; ages 2 years, 0 months−2 years, 11 months), we show that 2-year-olds only assumed that novel words have distinct meanings if the words were spoken with focus, an information-structural marker of contrast. Without focus, we found no mutual exclusivity; novel words were understood to label familiar objects. These results provide a novel account of mutual exclusivity and demonstrate an early emerging understanding of focus and information structure.","Massachusetts Institute of Technology","United States","0","3","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"7","09567976","2024","Narrative Identity, Traits, and Trajectories of Depression and Well-Being: a 9-Year Longitudinal Study","Lind, M., Ture, S., McAdams, D.P., Cowan, H.R.","Psychological Science","35","12","1325-1339","10.1177/09567976241296512","Lind, M., Ture, S., McAdams, D.P., Cowan, H.R. (2024). Narrative Identity, Traits, and Trajectories of Depression and Well-Being: a 9-Year Longitudinal Study. Psychological Science, 35(12), 1325-1339. https://doi.org/10.1177/09567976241296512","https://doi.org/10.1177/09567976241296512","1","Mental health and well-being tend to improve with age, and personality differences affect these trajectories. Although it is well established that dispositional traits, such as extraversion and neuroticism, relate to well-being, the incremental validity of other important personality constructs, such as narrative identity, remains unknown. Across 9 years, 157 late-midlife adults (Mage = 56.4 years, SD = 0.96) self-reported their well-being and symptoms of depression each year and wrote an annual narrative account describing their greatest life challenge (Nchallenges = 1,211). The narrative accounts were content-coded for themes of agency and communion. Results showed that themes of agency and communion in narrative identity were significantly and uniquely associated with well-being and depression across time, over and above the effects of traits. The benefits of considering both narrative identity and dispositional personality traits as they jointly apply to mental health are discussed.","Michigan State University","United States","0","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"8","09567976","2024","Cognitive Maps for a Non-Euclidean Environment: Path Integration and Spatial Memory on a Sphere","Kim, M., Doeller, C.F.","Psychological Science","35","11","1217-1230","10.1177/09567976241279291","Kim, M., Doeller, C.F. (2024). Cognitive Maps for a Non-Euclidean Environment: Path Integration and Spatial Memory on a Sphere. Psychological Science, 35(11), 1217-1230. https://doi.org/10.1177/09567976241279291","https://doi.org/10.1177/09567976241279291","0","Humans build mental models of the world and utilize them for various cognitive tasks. The exact form of cognitive maps is not fully understood, especially for novel and complex environments beyond the flat Euclidean environment. To address this gap, we investigated path integration—a critical process underlying cognitive mapping—and spatial-memory capacity on the spherical (non-Euclidean) and planar (Euclidean) environments in young healthy adults (N = 20) using immersive virtual reality. We observed a strong Euclidean bias during the path-integration task on the spherical surface, even among participants who possessed knowledge of non-Euclidean geometry. Notably, despite this bias, participants demonstrated reasonable navigation ability on the sphere. This observation and simulation suggest that humans navigate nonflat surfaces by constructing locally confined Euclidean maps and flexibly combining them. This insight sheds light on potential neural mechanisms and behavioral strategies for solving complex cognitive tasks.","UCL Institute of Cognitive Neuroscience","United Kingdom","1","2","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"9","09567976","2024","Susceptibility to Attentional Capture by Target-Matching Distractors Predicts High Visual Working Memory Capacity","Zhong, C., Qu, Z., Yang, N., Sun, M., Wang, Y., Ding, Y.","Psychological Science","35","11","1203-1216","10.1177/09567976241279520","Zhong, C., Qu, Z., Yang, N., Sun, M., Wang, Y., Ding, Y. (2024). Susceptibility to Attentional Capture by Target-Matching Distractors Predicts High Visual Working Memory Capacity. Psychological Science, 35(11), 1203-1216. https://doi.org/10.1177/09567976241279520","https://doi.org/10.1177/09567976241279520","0","Recent event-related potential (ERP) studies showed that individuals with low visual working memory (VWM) capacity are more susceptible to salience-driven attentional capture than high-capacity individuals are, with the latter being able to proactively suppress salient but irrelevant distractors. However, it remains unclear whether and how contingent attentional capture by distractors that possess a task-relevant (target) feature is related to VWM capacity. Here, we adopted a central focused-attention task that contained peripheral target-matching distractors to investigate this issue (N = 51 adults). Surprisingly, we revealed that target-matching distractors elicited both a larger N2-posterior-contralateral (N2pc) and a larger post-N2pc distractor positivity (PD) component in high-capacity individuals than in low-capacity ones, meaning that high-capacity individuals are less able to ignore such distractors initially, though they could call on a stronger reactive suppression mechanism afterward. These findings illustrate that high-capacity individuals are more (rather than less or equally) susceptible to contingent attention capture compared with low-capacity ones.","Sun Yat-Sen University","China","0","6","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
"10","09567976","2024","On the Unequal Burden of Obesity: Obesity’s Adverse Consequences Are Contingent on Regional Obesity Prevalence","Berkessel, J.B., Ebert, T., Gebauer, J.E., Rentfrow, P.J.","Psychological Science","35","11","1260-1277","10.1177/09567976241265037","Berkessel, J.B., Ebert, T., Gebauer, J.E., Rentfrow, P.J. (2024). On the Unequal Burden of Obesity: Obesity’s Adverse Consequences Are Contingent on Regional Obesity Prevalence. Psychological Science, 35(11), 1260-1277. https://doi.org/10.1177/09567976241265037","https://doi.org/10.1177/09567976241265037","0","Obesity has adverse consequences for those affected. We tested whether the association between obesity and its adverse consequences is reduced in regions in which obesity is prevalent and whether lower weight bias in high-obese regions can account for this reduction. Studies 1 and 2 used data from the United States (N = 2,846,132 adults across 2,546 counties) and United Kingdom (N = 180,615 adults across 380 districts) that assessed obesity’s adverse consequences in diverse domains: close relationships, economic outcomes, and health. Both studies revealed that the association between obesity and its adverse consequences is reduced (or absent) in high-obese regions. Study 3 used another large-scale data set (N = 409,837 across 2,928 U.S. counties) and revealed that lower weight bias in high-obese regions seems to account for (i.e., mediate) the reduction in obesity’s adverse consequences. Overall, our findings suggest that obesity’s adverse consequences are partly social and, thus, not inevitable.","Mannheimer Zentrum für Europäische Sozialforschung","Germany","1","4","In-Progress","all","489","4560","9.3","86","3200","16","92",NA,NA,NA,"Psychological Science","SAGE Publications Inc.","1990","2024",0,0,0,NA,NA,0
