"","file","test_report","p_value","p_value_reporting","p_value_num","use_p_val","p_value_calc"
"RESULTS__Post-cue Recall Behavior_1","downloads/Psychological_Science/10117709567976231215298.grobid.tei.xml","p < .001, Cohen","p < .001","limit",0.001,TRUE,NA
"RESULTS__Effectiveness of Model-Based Cue Selection_11","downloads/Psychological_Science/10117709567976231215298.grobid.tei.xml","p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Effectiveness of Model-Based Cue Selection_12","downloads/Psychological_Science/10117709567976231215298.grobid.tei.xml","p < .001, Cohen","p < .001","limit",0.001,TRUE,NA
"RESULTS__Effectiveness of Model-Based Cue Selection_13","downloads/Psychological_Science/10117709567976231215298.grobid.tei.xml","p = .003","p = .003","exact",0.003,TRUE,NA
"RESULTS__Effectiveness of Model-Based Cue Selection_14","downloads/Psychological_Science/10117709567976231215298.grobid.tei.xml","p < .001, Cohen","p < .001","limit",0.001,TRUE,NA
"RESULTS__Survey Results_1","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml"," (1)=10.19, p=.001","p=.001.","exact",0.001,TRUE,NA
"RESULTS__Performance Results_11","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=-2.95, p=.004","p=.004","exact",0.004,TRUE,NA
"RESULTS__Performance Results_12","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=0.92,p=.358","p=.358","exact",0.358,TRUE,NA
"RESULTS__Performance Results_13","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=4.29, p < .001","p < .001","calc_from_t",0.001,TRUE,3.637071e-05
"RESULTS__Performance Results_14","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=2.24, p=.027","p=.027","exact",0.027,TRUE,NA
"RESULTS__Performance Results_15","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=0.10, p=.922","p=.922.","exact",0.922,TRUE,NA
"RESULTS__Performance Results_16","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","p=.489, nor was there a Condition ","p=.489","exact",0.489,TRUE,NA
"RESULTS__Performance Results_17","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(3511)=-0.57, p=.567","p=.567","exact",0.567,TRUE,NA
"RESULTS__Calculus course performance._11","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","p=.532, but it did differ from the diversity slope seen in the ecological","p=.532","exact",0.532,TRUE,NA
"RESULTS__Calculus course performance._12","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(378)=3.17, p=.002","p=.002","exact",0.002,TRUE,NA
"RESULTS__Calculus course performance._13","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(4860)=-0.58, p=.562","p=.562","exact",0.562,TRUE,NA
"RESULTS__Calculus course performance._14","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","interaction, B=-0.66, SE=0.28, t(120)=-2.36, p=.020","p=.020","exact",0.02,TRUE,NA
"RESULTS__Calculus course performance._15","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=0.46, p=.644","p=.644","exact",0.644,TRUE,NA
"RESULTS__Calculus course performance._16","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=3.82, p < .001","p < .001","calc_from_t",0.001,TRUE,0.0002128171
"RESULTS__Calculus course performance._17","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=3.58, p=.001","p=.001","exact",0.001,TRUE,NA
"RESULTS__Calculus course performance._18","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(120)=0.86, p=.391","p=.391","exact",0.391,TRUE,NA
"RESULTS__Calculus course performance._19","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","Notably, the Condition × Classroom Diversity interaction did not differ as a function of participant gender, SE=0.54,p=.882","p=.882","exact",0.882,TRUE,NA
"RESULTS__Calculus course performance._110","downloads/Psychological_Science/10117709567976231221534.grobid.tei.xml","t(3359)= -2.07, p=.038","p=.038","exact",0.038,TRUE,NA
"1","downloads/Psychological_Science/10117709567976231221990.grobid.tei.xml","no p-values found; paper might be qualitative?","no p-values found; paper might be qualitative?","limit",NA,FALSE,NA
"11","downloads/Psychological_Science/10117709567976241228503.grobid.tei.xml","no p-values found; paper might be qualitative?","no p-values found; paper might be qualitative?","limit",NA,FALSE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._11","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","phase, F(2,47) = 16.65, p < .001","p < .001","limit",0.001,TRUE,NA
"RESULTS__Experiment 1: Manipulating prior beliefs via comparative feedback causally induces under-and overconfidence._12","downloads/Psychological_Science/10117709567976241231572.grobid.tei.xml","F(2,47) = 159.71, p < .001","p < .001","limit",0.001,TRUE,NA
